연번,과정명,기수,구분,주제,기획설명,활용데이터,활용기술,깃허브 주소
75,SK네트웍스 Family AI 캠프,3,최종프로젝트,FastAPI와 React 기반으로 LLM 대화 처리와 실시간 채팅 인터페이스를 제공하는 AI 챗봇 웹 서비스 프로젝트,"README에는 특정 문제 상황이 명시되어 있지는 않으며, AI 챗봇 시스템을 중심으로 백엔드, 프론트엔드, LLM 엔진을 통합하는 프로젝트로 설명되어 있습니다. 핵심 기능은 FastAPI 기반 RESTful API, JWT 인증, MySQL 연동, Google/Kakao 소셜 로그인, OpenAI GPT 및 LangChain 기반 대화 관리, Ollama 로컬 모델 지원, React 기반 실시간 채팅 인터페이스입니다. 프로젝트 방향성은 AWS 클라우드 통합, Docker 기반 Ollama 서버, Swagger 문서화와 CloudWatch 모니터링을 포함한 챗봇 서비스 운영 구조 구축으로 확인됩니다.",,"FastAPI, Python, Pydantic, Uvicorn, MySQL, SQLAlchemy, OpenAI, LangChain, Ollama, FAISS, NumPy, Pandas, React, Redux, React Query, Axios, Socket.io, Google OAuth, Kakao OAuth, JWT, Passlib, AWS, AWS CodeBuild, Docker, PyTest, ESLint, Prettier, Git, GitHub, CloudWatch, Loguru, Swagger",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-FINAL-4Team
76,SK네트웍스 Family AI 캠프,3,최종프로젝트,"비대면 채용 시대 AI, 화상 면접 대비 솔루션","비대면 면접 선호 증가와 면접 미숙자들의 어려움 해소, 비대면 면접 확산에 대응해 취업 준비생의 면접 준비를 지원, AI 기반 모의 면접과 화상 면접 연습 시스템 제공 ",,"Python, JavaScript, Jupyter Notebook",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-FINAL-5Team
77,SK네트웍스 Family AI 캠프,3,최종프로젝트,자동차 산업 고객 상담을 위해 고객사 요구에 따라 기능을 선택·조합할 수 있는 모듈형 AI 챗봇 솔루션을 개발하는 프로젝트입니다.,"자동차 산업의 반복 FAQ로 인한 고객센터 업무 과중, 차량 유지보수 알림 부족, 고객 맞춤형 서비스 부재 등의 문제를 해결하려는 프로젝트입니다. 챗봇 기능을 모듈화하여 동적으로 선택·조합하고, 차량 상태와 정비 이력을 활용한 맞춤형 제안, 유지보수 알림, 신차 및 추가 서비스 추천 기능을 제공합니다. 고객사의 비즈니스 요구에 맞춰 데이터를 쉽게 변경하고 챗봇 기능을 조합할 수 있는 기업 맞춤형 상담 서비스를 목표로 합니다.",,"OpenAI GPT, yanolja/EEVE-Korean-10.8B-v1.0, Vue.js, FastAPI, Spring Boot, AWS, RAG, Python, Jupyter Notebook, JavaScript, Java, CSS, HTML, Dockerfile",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN03-FINAL-6Team
78,SK네트웍스 Family AI 캠프,4,교과목실습1,지정된 사이트의 FAQ를 검색하고 전국 자동차 등록 현황을 조회·시각화하는 CARFAQ 시스템입니다.,"자동차 등록 현황 정보가 다양한 기관과 시스템에 분산되어 있어 일관된 정보 접근이 어렵고, 기업 FAQ는 빠르고 정확한 답변 제공을 위한 체계적 관리가 필요하다는 문제를 다룹니다. 전국 자동차 등록 현황을 통합 관리하는 데이터베이스와 시각적 대시보드를 제공하며, 기업 FAQ 시스템을 통해 자주 묻는 질문 관리와 자동화된 답변 제공 기능을 구현합니다. 프로젝트 목표는 자동차 등록 현황을 자동 크롤링하여 조회할 수 있는 웹 기반 플랫폼을 만들고 고객 지원을 개선하는 것입니다.",,"Git, GitHub, PostgreSQL, Docker, Python, Streamlit",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-1st-1Team
79,SK네트웍스 Family AI 캠프,4,교과목실습1,전국 내연기관 자동차와 전기차 등록 현황을 시각화하고 기업 FAQ를 조회하는 시스템입니다.,"이 프로젝트는 전기차와 상용차 등록 데이터를 통해 자동차 산업의 내연기관에서 전기차로의 전환 흐름을 이해하는 것을 목표로 합니다. 연도별·지역별 내연기관 자동차 등록량 추이, 연도별 전기 자동차 등록량 추이, 기업 FAQ 조회 기능을 제공합니다. 복잡한 데이터를 Streamlit 페이지에서 시각적으로 확인할 수 있도록 구성했습니다.","국토교통부 통계누리 상용 자동차 등록 현황, charge info 전기차 등록 현황","Git, Visual Studio, Docker, Pandas, Python, PostgreSQL, Selenium, Streamlit",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-1st-2Team
80,SK네트웍스 Family AI 캠프,4,교과목실습1,우리나라 지역별 차량대수와 전기차 지역별 차량대수 및 전기차 배터리 제조사 정보를 쉽게 볼 수 있는 페이지를 만드는 프로젝트입니다.,이 프로젝트는 우리나라 지역별 차량대수와 전기차 지역별 차량대수를 쉽게 확인할 수 있도록 정리하는 것을 목표로 합니다. 전기차 관련 정보는 배터리 제조사까지 함께 볼 수 있도록 구성되어 있습니다.,,"Python, Streamlit, Git, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-1st-3Team
81,SK네트웍스 Family AI 캠프,4,교과목실습1,전국 자동차 등록 현황을 그래프와 지도로 시각화하고 기업별 자동차 관련 FAQ를 조회하는 서비스입니다.,"자동차 기업의 입장에서 전국 자동차 등록 현황과 기업 FAQ를 조회할 수 있는 시스템을 구현한 프로젝트입니다. 2013년부터 2024년 7월까지의 지역별 자동차 분포 현황을 그래프로 시각화하고, 연도별 국내 자동차 현황을 지도에 표시합니다. 또한 타 기업의 FAQ와 엔코 자동차의 FAQ를 기업별로 보여주는 기능을 제공합니다.",,"Python, Streamlit",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-1st-4Team
82,SK네트웍스 Family AI 캠프,4,교과목실습1,"전기차 관련 뉴스, 제조사 FAQ, 전기차 등록 현황과 충전소 현황을 수집·시각화하여 조회하는 시스템입니다.","전기차 확산 정책 수립을 위해 전기차 관련 이슈, 제조사 제공 정보, 지역별 등록 및 충전 인프라 현황을 빠르게 파악할 수 있도록 설계된 프로젝트입니다. 전기차 등록 현황, 충전소 현황, 전기차 관련 뉴스, 기아 FAQ를 크롤링하여 PostgreSQL에 저장하고 Streamlit으로 시각화해 제공합니다.",기아 전기차 관련 FAQ 웹 크롤링 데이터,"Python, Selenium, BeautifulSoup, Streamlit, PostgreSQL, SQLAlchemy, Pandas, AWS, Git, requests, psycopg2, webdriver-manager, tqdm",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-1st-5Team
83,SK네트웍스 Family AI 캠프,4,교과목실습1,전국 자동차 등록 현황을 시각화하고 현대·기아 자동차 FAQ를 통합 조회 및 검색하는 시스템입니다.,"이 프로젝트는 사용자가 자동차 등록 대수의 변화와 차종·용도별 현황을 확인하고 추이 분석을 통해 트렌드를 파악할 수 있도록 합니다. 또한 현대와 기아차의 대표 질문과 답변을 한 페이지에서 통합 확인하고, 제목과 답변 키워드 기반 검색을 지원하는 것을 목표로 합니다.",현대·기아 자동차 FAQ 질문·답변 데이터,"PostgreSQL, Git, GitHub, Python, DBeaver, Streamlit",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-1st-6Team
84,SK네트웍스 Family AI 캠프,4,교과목실습2,고객 데이터를 기반으로 가입 고객의 이탈 여부를 예측하는 머신러닝·딥러닝 모델을 제작하는 프로젝트입니다.,"기업의 수익성과 관련된 고객 이탈 문제를 사전에 예방하기 위해, 주어진 고객 데이터를 바탕으로 이탈 가능성이 높은 고객을 예측하고자 합니다. Churn, 요금, 서비스 사용 기간, 기기 사용 일수, 신용 등급, 고객 유지 전화 횟수 등의 컬럼을 분석하고 feature를 생성하여 ML 및 DL 모델을 학습했습니다. 수행 결과 데이터 분포가 Churn별로 잘 분리되지 않고 데이터 불균형 문제가 있어 정확도 개선에 한계가 있음을 확인했습니다.",,"Python, Git, GitHub, Pandas, numpy, scikit-learn, torch, PyTorch Lightning, NNI, seaborn, LightGBM, t-SNE, SMOTE",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-2nd-1Team
85,SK네트웍스 Family AI 캠프,4,교과목실습2,"통신사 고객의 사용량, 요금, 소득, 통화 패턴 데이터를 기반으로 ML/DL 모델을 활용해 고객 이탈 여부를 예측하는 프로젝트","통신사 고객 데이터와 이탈 여부를 결부시켜 향후 고객 이탈을 예측하고 대응방안을 강구하는 것을 목표로 한다. 결측치 제거, 중복값 확인, EDA, Z-score 기반 이상치 제거, 라벨 인코딩 등의 전처리를 수행한 뒤 MLP, LGBMClassifier, XGBClassifier, RandomForestClassifier 모델을 학습·비교했다. 모델 성능과 feature importance를 확인했으나 acc 0.8을 넘지 못했고 유의미한 변수를 찾지 못했다는 결론을 제시했다.",,"Python, Pandas, NumPy, Matplotlib, Seaborn, SciPy, scikit-learn, MLP, NNI, LGBMClassifier, XGBClassifier, RandomForestClassifier, RandomizedSearchCV, LabelEncoder, Z-score, Adam, binary_cross_entropy_with_logits",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-2nd-2Team
86,SK네트웍스 Family AI 캠프,4,교과목실습2,가상의 통신사 고객 이탈 데이터를 분석하고 머신러닝·딥러닝 모델로 향후 이탈 가능성을 예측하는 프로젝트입니다.,"모바일 시장 확대로 통신사 선택 기준이 다양해지면서 고객 이탈 방지를 위한 데이터 기반 분석이 필요하다는 배경에서 진행되었습니다. 이탈 고객 데이터를 EDA로 분석하여 이탈 원인을 파악하고, SVM과 MLP 등 머신러닝·딥러닝 모델을 비교해 고객 이탈 예측에 적합한 모델을 선정하는 것을 목표로 합니다. 분석 결과를 바탕으로 고객 서비스 개선 및 이탈 방지 대응 방안을 제안합니다.",,"Python, PyTorch, Pandas, scikit-learn, Git, GitHub, Jupyter, SVM, MLP",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-2nd-3Team
87,SK네트웍스 Family AI 캠프,4,교과목실습2,고객 기본 정보와 사용 패턴 데이터를 기반으로 고객 이탈 가능성을 예측하는 머신러닝 및 딥러닝 이진 분류 모델 개발 프로젝트,"고객의 기본 데이터와 사용 패턴을 포함한 56개 특징을 바탕으로 고객 이탈 가능성을 예측하는 모델을 개발한다. Decision Tree, Random Forest, XGBoost, LightGBM, CatBoost 및 MLP 모델을 적용하고 성능을 비교하며, 변수 중요도를 통해 고객 이탈에 영향을 주는 요인을 찾는 것을 목표로 한다.",,"Decision Tree, Random Forest, XGBoost, LightGBM, CatBoost, MLP, NNI, PCA",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-2nd-4Team
88,SK네트웍스 Family AI 캠프,4,교과목실습2,머신러닝과 딥러닝을 활용하여 기업 고객 이탈을 예측하는 모델을 구축하는 프로젝트입니다.,"이 프로젝트는 기업의 고객 이탈을 예측하여 고객 충성도 향상과 맞춤형 마케팅 전략 수립을 지원하는 것을 목표로 합니다. 데이터 전처리, EDA, Feature 생성 및 제거, XGBoost·LightGBM·MLP 모델링을 통해 고객 이탈 예측 모델의 정확성을 높이고자 합니다.",,"Git, GitHub, Python, NumPy, Pandas, scikit-learn, Lightning, PyTorch, XGBoost, LightGBM, KMeans, MLP, NNI",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-2nd-5Team
89,SK네트웍스 Family AI 캠프,4,교과목실습3,국립중앙도서관 도서 정보 데이터를 활용해 Enco Library 소장 도서 검색 질문에 hallucination 없는 답변을 제공하는 RAG 기반 챗봇 시스템입니다.,"기존 GPT가 도서 질문에 대해 출판사 등 책 정보를 부정확하게 답변하는 hallucination 문제가 발생하는 것을 해결하려는 프로젝트입니다. 국립중앙도서관 도서 정보를 전처리하고 VectorDB에 저장한 뒤 RAG 기법을 이용해 책, 작가, 카테고리, 키워드 검색 질문에 답변하도록 구현했습니다. 목표는 Enco Library가 소장한 도서에 대해 검색했을 때 정확한 답변을 제공하는 것입니다.",국립중앙도서관 Linked Open Data(LOD) 텍스트 기반 일반 도서 정보 데이터셋,"Python, Streamlit, LangChain, scikit-learn, JSON, ChromaDB, OpenAIEmbeddings(text-embedding-3-small), RAG, Git, GitHub, Visual Studio Code",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-3rd-1Team
90,SK네트웍스 Family AI 캠프,4,교과목실습3,다나와 노트북 제품 정보를 크롤링해 RAG 기반으로 사용자 질문에 정확한 답변을 제공하는 컴퓨터 비교 챗봇 프로젝트입니다.,"ChatGPT에게 노트북 추천을 요청했을 때 할루시네이션이 발생해 사용자에게 필요한 정보를 제공하지 못하는 문제를 해결하려는 프로젝트입니다. 다나와 사이트에서 노트북 제품 정보를 크롤링하고, 전처리 및 FAISS 임베딩을 거쳐 사용자의 질문에 적절한 답변을 제공하는 대화형 챗봇을 구축했습니다. Streamlit을 통해 사용자 인터페이스를 제공하며, RAG 방법론을 기반으로 정확한 제품 정보를 제공하는 것을 목표로 합니다.",다나와 사이트 노트북 제품 정보 크롤링 데이터,"Python, Selenium, Pandas, LangChain, OpenAI API, Streamlit, FAISS, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-3rd-2Team
91,SK네트웍스 Family AI 캠프,4,교과목실습3,보험 약관 PDF를 벡터 DB로 저장하고 RAG를 활용해 내부 상담원이 특정 보험 상품의 약관 내용을 질의응답으로 조회할 수 있게 하는 챗봇 프로젝트,복잡하고 일반적이지 않은 보험 약관 내용은 기존 LLM만으로 정확히 찾기 어렵다는 문제를 해결하기 위해 기획되었습니다. PyPDFLoader로 보험 약관 PDF를 파싱하고 Chroma 벡터 DB와 LangChain 기반 RAG를 통해 질문에 맞는 약관 내용을 검색해 답변합니다. Streamlit 기반 대화 UI와 대화 기록 기억 기능을 구현하여 내부 상담원이 약관 정보를 쉽게 조회할 수 있도록 하는 것을 목표로 합니다.,,"Python, LangChain, OpenAI, GPT-4o-mini, text-embedding-3-small, PyPDFLoader, Chroma, Streamlit, RunnableWithMessageHistory",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-3rd-3Team
92,SK네트웍스 Family AI 캠프,4,교과목실습3,가상의 철도 회사 신입사원이 회사 내부 규정과 정책 정보를 쉽게 검색하고 질문할 수 있도록 지원하는 기업 내 정보 검색 Q&A 챗봇 프로젝트,"이 프로젝트는 신입사원이 회사 규정, 가이드라인, 정책 등을 일일이 확인해야 하는 불편을 줄이기 위해 내부 공식 문서 기반 Q&A 챗봇을 개발합니다. 수집·정리한 규정 문서를 임베딩 벡터화하고 Chroma DB와 LangChain 기반 RAG를 구성하여 질문에 대한 답변을 제공합니다. 또한 AI 챗봇의 할루시네이션을 최소화하고 신뢰할 수 있는 답변을 제공하는 것을 목표로 합니다.",,"Python, Streamlit, OpenAI, LangChain, Git, Chroma, OpenAIEmbeddings, ChatOpenAI gpt-4o-mini, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-3rd-4Team
93,SK네트웍스 Family AI 캠프,4,교과목실습4,Enco Library가 소장한 도서에 대해 검색하면 데이터에 기반해 hallucination 없는 답변을 제공하는 도서 챗봇 웹 페이지 프로젝트,"기존 GPT가 책 추천이나 정보 질문에서 존재하지 않는 책을 추천하는 등 hallucination이 발생하는 문제를 해결하려는 프로젝트입니다. 국립중앙도서관 도서 데이터와 네이버 책 API를 활용해 도서 제목, 작가, 출판사, 출판연도, 책소개 데이터를 구축하고, RAG를 사용해 데이터에 존재하는 책은 추천·설명하며 없는 책은 없다고 응답하도록 구현했습니다.","국립중앙도서관 Linked Open Data(LOD)의 텍스트 기반 일반 도서 정보 데이터셋, 네이버 책 API 데이터","Python, HTML5, CSS, JavaScript, Django, LangChain, scikit-learn, JSON, AWS, Docker, Git, GitHub, Visual Studio Code, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-4th-1Team
94,SK네트웍스 Family AI 캠프,4,교과목실습4,다나와 노트북 제품 정보를 크롤링해 사용자 질문에 답변하는 대화형 챗봇을 Django로 이식하고 AWS에 배포하는 프로젝트입니다.,"이 프로젝트는 다나와 사이트에서 수집한 노트북 제품 정보를 기반으로 사용자의 질문에 할루시네이션이 없는 답변을 제공하는 대화형 챗봇을 구현합니다. Selenium으로 노트북 모델명, 상세 스펙, 가격 데이터를 크롤링하고, 정제 후 text-embedding-3-small 모델로 FAISS DB에 임베딩하여 벡터 검색 기반 응답을 생성합니다. 기존 Streamlit 페이지를 Django 기반 웹 페이지로 이식하고 AWS 환경에 배포하는 것을 목표로 합니다.",다나와 사이트 노트북 제품 정보 웹 크롤링 데이터,"Python, Selenium, Pandas, LangChain, OpenAI, text-embedding-3-small, FAISS, Streamlit, Django, PostgreSQL, Docker, Docker Compose, AWS, Git",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-4th-2Team
95,SK네트웍스 Family AI 캠프,4,교과목실습4,보험 약관 PDF를 벡터 DB로 저장하고 GPT-4o-mini 기반 RAG로 약관 내용을 조회할 수 있는 챗봇 웹 서비스입니다.,"복잡하고 일반적이지 않은 특정 보험 약관 내용은 기존 LLM에서 쉽게 찾기 어렵다는 문제를 해결하기 위해 기획되었습니다. 보험 약관 PDF를 파싱해 청크로 분할하고 임베딩하여 벡터 DB화한 뒤, LangChain 기반 RAG 시스템으로 내부 상담원이 필요한 약관 내용을 질문하고 답변받을 수 있도록 구현했습니다. 기존 Streamlit 데모를 React와 Django 기반 웹페이지로 구현하고 AWS EC2, Docker, AWS CodeDeploy를 활용해 배포했습니다.",,"Python, LangChain, OpenAI, GPT-4o-mini, text-embedding-3-small, PyPDFLoader, Chroma, Django, React, JavaScript, PostgreSQL, Docker, AWS EC2, AWS CodeDeploy, nginx, Streamlit",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-4th-3Team
96,SK네트웍스 Family AI 캠프,4,교과목실습4,회사 내부 규정과 정책 문서를 기반으로 신입사원의 질문에 답변하는 기업 내 정보 검색 Q&A 챗봇을 구축하는 프로젝트입니다.,"신입사원이 회사 규정, 가이드라인, 정책을 일일이 확인하지 않고도 필요한 정보를 빠르게 얻을 수 있도록 Q&A 챗봇을 개발합니다. 내부 공식 문서 기반으로 답변하도록 RAG를 구축해 AI 챗봇의 할루시네이션을 최소화하고, Django와 AWS를 활용해 웹 페이지 구축 및 배포를 목표로 합니다.",,"Python, OpenAI, LangChain, OpenAIEmbeddings, ChatOpenAI gpt-4o-mini, Chroma, Django, HTML5, Bootstrap, JavaScript, AWS, Git",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-4th-4Team
97,SK네트웍스 Family AI 캠프,4,최종프로젝트,부동산을 처음 접하는 20~30대 청년을 위한 AI 기반 부동산 매물 검색 및 추천 챗봇 서비스입니다.,"서집사는 부동산을 처음 접하는 20~30대 청년들의 부동산 접근성을 높이기 위해 제작된 서비스입니다. LangGraph를 사용해 고객 친화적인 대화 시스템과 부동산 매물 조회 시스템을 구축하고, 개인화된 부동산 매물 검색 및 추천을 제공합니다.","서울시 매물 데이터, 서울시 범죄 통계 데이터, 문화시설 및 축제 데이터, 서울시 지하철역 데이터","Airflow, Tor Browser, OpenAI, LangGraph, Git, React, Django, AWS, Docker, LangChain, Chroma, FastAPI, PostgreSQL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-FINAL-1Team
98,SK네트웍스 Family AI 캠프,4,최종프로젝트,헤드헌터가 입력한 인재상에 맞는 후보자 이력서를 LLM 기반으로 검색하는 데이터 검색엔진 프로젝트,"이 프로젝트는 후보군 탐색과 평가 과정에서 이력서 검토에 많은 시간이 소요되고 수작업으로 인한 업무 피로가 발생하는 문제를 해결하려 한다. 자연어 입력을 바탕으로 주요 이력 내용에 부합하는 키워드를 탐색하고, 후보자 이력서를 검색 및 반환하며, 북마크와 히스토리 기능을 통해 검색된 이력서를 다시 열람할 수 있도록 한다.",,"React, JavaScript, Django, Python, PostgreSQL, OpenAI, LangChain, FAISS, AWS",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-FINAL-2Team
99,SK네트웍스 Family AI 캠프,4,최종프로젝트,방한 외국인 관광객을 위해 서울 지역 관광·장소 정보를 다국어로 제공하고 챗봇 기반 일정 생성 및 장소 추천을 지원하는 플랫폼입니다.,"외국인 관광객은 한국어 중심의 국내 앱 환경과 제한적인 다국어 지원으로 인해 길찾기와 관광 정보 탐색에 불편을 겪고 있습니다. 이 프로젝트는 통합 정보 제공 및 다국어 지원 플랫폼을 구축하여 챗봇을 통한 일정 생성, 장소 추천, 지도 마커 표시, 즐겨찾기, 채팅 목록 저장 기능을 제공합니다. 정제된 장소 데이터를 임베딩하고 Faiss 및 BM25를 활용해 검색 효율과 정확도를 높이는 방향으로 구성되었습니다.","네이버 지도 크롤링 데이터(용산구·강남구·종로구·중구의 음식점·카페·술집), 공공데이터: 한국보건산업진흥원_외국인환자 유치기관 현황, 서울시 의료관광허가 의료기관 정보, 서울시 관광 음식, 서울시 관광 명소, 서울특별시 관광 쇼핑, 서울특별시 관광 문화, 서울특별시 관광 자연, 서울특별시 관광거리 정보, 서울특별시 관광안내소, 관광숙박업 데이터","Python, Selenium, Pandas, LangChain, OpenAI, text-embedding-3-small, Faiss, BM25, Git, Django, PostgreSQL, AWS, Naver API",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-FINAL-3Team
100,SK네트웍스 Family AI 캠프,4,최종프로젝트,파인튜닝한 sLLM을 활용해 사내문서를 검색하고 업무 정보를 제공하는 Agent형 RAG 시스템 구축 프로젝트입니다.,"직원들의 정보검색 시간을 단축해 업무 효율성을 높이는 것을 목표로 한 사내문서 검색 시스템입니다. 파인튜닝을 적용한 sLLM 기반 Agent형 RAG Application을 구축하며, 데이터 수집 및 전처리, Vector DB, LangGraph, Fine Tuning 등의 수행 결과가 제시되어 있습니다. 신속한 업무정보 제공과 회사의 업무 효율성 향상 및 시간 절약을 기대효과로 제시합니다.",,"Python, Visual Studio Code, Git, GitHub, RunPod, Amazon EC2, Amazon RDS, PostgreSQL, OpenAI, LangChain, LangGraph, Django, React, FastAPI, Ollama",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-FINAL-4Team
101,SK네트웍스 Family AI 캠프,4,최종프로젝트,"FastAPI 기반으로 사용자 인증, 동적 메뉴 접근, ChatGPT 대화 기능을 제공하는 챗봇 서버 프로젝트입니다.","이 프로젝트는 사용자 등록과 로그인, JWT 토큰 생성, 사용자별 동적 메뉴 접근 기능을 제공하는 서버를 구성합니다. 또한 /chatbot 엔드포인트를 통해 ChatGPT와 대화할 수 있으며, 테스트 엔드포인트와 로그 기록 기능이 README에 명시되어 있습니다.",,"Python, FastAPI, Uvicorn, JWT, ChatGPT, FAISS, PyMuPDF",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-FINAL-5Team
102,SK네트웍스 Family AI 캠프,4,최종프로젝트,NLP 논문을 읽는 사람에게 필요한 학습보조 도구 제작 (Paper Map),"딥러닝, 자연어 처리(NLP) 분야의 급격한 발전으로 매년 발표되는 학술 논문 수가 기하급수적으로 증가하고 있고, 문헌 검색 부담이 증가됨. 의미적 검색, 키워드 문제 중심의 논문 흐름 지도를 제공하여, 브라우저 확장 프로그램을 통한 접근성을 강화하기로 함.",Arxiv API를 활용하여 데이터 크롤링,"PostgreSQL, Python, S3, HTML, CSS, javascript, Django, AWS",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN04-FINAL-6Team
103,SK네트웍스 Family AI 캠프,5,교과목실습1,2023년과 2024년 전국 차량 등록 데이터를 조건별로 조회하고 차량 관련 FAQ 및 서비스 센터 정보를 제공하는 시스템입니다.,"차량 구매자가 성별, 용도, 지역 등에 따라 어떤 브랜드와 모델이 선호되는지 확인하기 어려운 문제를 바탕으로 기획되었습니다. 연도, 성별, 용도, 지역 조건으로 차량 등록 현황과 선호도를 조회하고, 브랜드별 서비스 센터 정보와 FAQ 검색 기능을 제공합니다. Streamlit 대시보드와 MySQL 기반 조회 기능을 통해 차량 등록 데이터 분석과 정보 제공을 목표로 합니다.","웹 크롤링으로 수집한 자동차 등록 현황, FAQ, 서비스 센터 정보","Streamlit, Python, MySQL, Pandas, SQL, 웹 크롤링",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-1nd-1Team
104,SK네트웍스 Family AI 캠프,5,교과목실습1,국내외 자동차 판매량 데이터를 수집·분석하고 상위 자동차 기업의 FAQ를 조회할 수 있는 시스템을 구현한 프로젝트,"국내외 기업별 자동차 판매량 데이터를 수집하여 자동차 현황을 파악하고, 회사별 점유율과 순위 및 차종별 판매율을 제공하는 것을 목표로 합니다. 자동차 모델 및 판매 정보, 가격, 성능 등을 비교할 수 있도록 하고, 상위 기업 FAQ 조회 시스템을 통해 궁금증을 빠르게 확인할 수 있도록 구현했습니다.",다나와 홈페이지 자동차 판매량 및 차량 관련 데이터,"MySQL, Jupyter, Python, Streamlit",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-1nd-2Team
105,SK네트웍스 Family AI 캠프,5,교과목실습1,전국 자동차 등록 현황과 기업 FAQ 데이터를 조회하고 시각화하는 웹 애플리케이션 프로젝트,"자동차 등록 데이터는 기업, 정부, 사용자에게 중요한 의사결정 자료로 활용될 수 있으며, 이를 효율적으로 이용할 수 있도록 하는 것이 필요합니다. 이 프로젝트는 Streamlit을 사용해 MySQL 데이터베이스의 전국 자동차 등록 현황과 기업 FAQ 데이터를 조회하고 시각화하는 기능을 제공합니다. 자동차 등록 현황과 기업 FAQ를 효율적으로 관리·제공하여 정보 접근성과 활용도를 높이고 사용자 경험을 개선하는 것을 목표로 합니다.","국토교통부 제공 자동차 등록 현황 자료, 한국자동차산업협회(KAMA) 및 한국수입자동차협회(KAIDA) 제공 브랜드별 차량 판매 실적 자료, 현대 자동차·기아 자동차·제네시스·쉐보레 FAQ","Python, MySQL, Selenium, Streamlit, Pandas, Plotly, SQLAlchemy",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-1nd-3Team
106,SK네트웍스 Family AI 캠프,5,교과목실습1,MySQL을 활용해 자동차 등록 현황 데이터를 조회하고 자동차 관련 FAQ를 제공하는 프로그램입니다.,"자동차 등록 현황과 관련해 원하는 데이터를 쉽게 조회할 수 있도록 자동차 등록 현황 데이터를 수집해 MySQL 데이터베이스에 저장합니다. Streamlit 기반 조회 화면에서 연도와 차종별 데이터를 검색할 수 있고, 쉐보레 FAQ 페이지에서 수집한 FAQ 정보도 제공합니다. 프로젝트 목표는 함수, 크롤링, DB 등 학습 내용을 활용하고 데이터 수집 및 분석 능력과 협업 수행 능력을 향상하는 것입니다.","국토교통부 통계누리 자동차 등록현황 데이터, 쉐보레 FAQ 웹페이지 크롤링 데이터","Python, MySQL, Streamlit, Selenium, BeautifulSoup, Pandas, PyMySQL, SQLAlchemy, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-1nd-4Team
107,SK네트웍스 Family AI 캠프,5,교과목실습2,Kaggle cell2cell 데이터셋을 활용해 통신사 고객 이탈 여부를 분석하고 예측하는 모델을 구현하는 프로젝트,"이 프로젝트는 이동통신사업에서 고객 이탈을 예측하고 이탈 고객의 행동 및 패턴을 분석해 이탈 방지 전략에 활용하는 것을 목표로 한다. 결측치 처리, 파생 변수 생성, 중요 피쳐 선정 등의 전처리를 수행한 뒤 여러 머신러닝 및 딥러닝 모델을 학습·평가하여 고객 이탈 여부를 예측한다. 평가 결과를 바탕으로 고객 이탈에 영향을 미치는 주요 요인을 파악하는 방향도 포함한다.",Kaggle cell2cell 데이터셋,"KNNImputer, Chi-Square, p-value, SHAP value, Logistic Regression, KNN, Decision Tree, Random Forest, Gradient Boosting, XGBoost, LightGBM, CatBoost, MLP, 오버 샘플링, 언더 샘플링, 10-fold 교차검증, DNN, RNN, CNN",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN05-2ST-1TEAM
